frame_index,x_centroid,y_centroid,visibility_flag
0,1843,121,1
1,1843,121,1
2,1843,122,1
3,1843,122,1
4,1843,122,1
5,1843,122,1
6,1843,122,1
7,1843,121,1
8,1843,122,1
9,1843,121,1
10,1843,121,1
11,1843,121,1
12,1843,121,1
13,1843,121,1
14,1843,121,1
15,1843,121,1
16,1843,121,1
17,1843,121,1
18,1843,121,1
19,1843,121,1
20,1843,121,1
21,1843,121,1
22,1843,121,1
23,1843,121,1
24,1843,122,1
25,1843,122,1
26,1843,122,1
27,1843,122,1
28,1843,122,1
29,1843,122,1
30,1843,122,1
31,1843,122,1
32,1843,122,1
33,1843,122,1
34,1843,122,1
35,1843,122,1
36,1843,121,1
37,1843,121,1
38,1843,121,1
39,1843,121,1
40,1843,121,1
41,1843,121,1
42,1843,121,1
43,1843,121,1
44,1843,121,1
45,1843,121,1
46,1843,121,1
47,1843,121,1
48,1843,122,1
49,1843,122,1
50,1843,122,1
51,1843,122,1
52,1843,122,1
53,1843,122,1
54,1843,122,1
55,1843,122,1
56,1843,122,1
57,1843,121,1
58,1843,122,1
59,1843,122,1
60,1843,122,1
61,1843,122,1
62,1843,122,1
63,1843,122,1
64,1843,122,1
65,1843,122,1
66,1843,121,1
67,1843,121,1
68,1843,121,1
69,1843,121,1
70,1843,121,1
71,1843,121,1
72,1843,122,1
73,1843,122,1
74,1843,122,1
75,1843,122,1
76,1843,121,1
77,1843,122,1
78,1843,122,1
79,1843,122,1
80,1843,121,1
81,1843,121,1
82,1843,121,1
83,1843,121,1
84,1843,122,1
85,1843,122,1
86,1843,122,1
87,1843,122,1
88,1843,122,1
89,1843,122,1
90,1843,122,1
91,1843,122,1
92,1843,122,1
93,1843,122,1
94,1843,122,1
95,1843,122,1
96,1843,122,1
97,1843,122,1
98,1843,122,1
99,1843,122,1
100,1843,122,1
101,1843,122,1
102,1843,122,1
103,1843,122,1
104,1843,122,1
105,1843,122,1
106,1843,122,1
107,1843,122,1
108,1843,122,1
109,1843,122,1
110,1843,122,1
111,1843,122,1
112,1843,122,1
113,1843,122,1
114,1843,121,1
115,1843,121,1
116,1843,121,1
117,1843,121,1
118,1843,121,1
119,1843,122,1
120,1843,121,1
121,1843,122,1
122,1843,121,1
123,1843,121,1
124,1843,121,1
125,1843,121,1
126,1843,122,1
127,1843,122,1
128,1843,122,1
129,1843,122,1
130,1843,122,1
131,1843,121,1
132,1843,122,1
133,1843,122,1
134,1843,122,1
135,1843,122,1
136,1843,122,1
137,1843,122,1
138,1843,122,1
139,1843,122,1
140,1843,122,1
141,1843,122,1
142,1843,122,1
143,1843,122,1
144,1843,121,1
145,1843,121,1
146,1843,121,1
147,1843,121,1
148,1843,121,1
149,1843,121,1
150,1843,122,1
151,1843,121,1
152,1843,121,1
153,1843,122,1
154,1843,122,1
155,1843,122,1
156,1843,121,1
157,1843,121,1
158,1843,121,1
159,1843,121,1
160,1843,121,1
161,1843,121,1
162,1843,121,1
163,1843,121,1
164,1843,121,1
165,1843,121,1
166,1843,121,1
167,1843,121,1
168,1843,121,1
169,1843,121,1
170,1843,121,1
171,1843,121,1
172,1843,121,1
173,1843,121,1
174,1843,121,1
175,1843,121,1
176,1843,121,1
177,1843,121,1
178,1843,121,1
179,1843,121,1
180,1843,121,1
181,1843,121,1
182,1843,121,1
183,1843,121,1
184,1843,121,1
185,1843,121,1
186,1843,121,1
187,1843,121,1
188,1843,121,1
189,1843,121,1
190,1843,121,1
191,1843,121,1
192,1843,121,1
193,1843,121,1
194,1843,122,1
195,1843,122,1
196,1843,122,1
197,1843,122,1
198,1843,122,1
199,1843,122,1
200,1843,122,1
201,1844,122,1
202,1844,122,1
203,1843,122,1
204,1843,122,1
205,1843,122,1
206,1843,121,1
207,1843,121,1
208,1843,121,1
209,1843,121,1
210,1843,121,1
211,1842,121,1
212,1842,121,1
213,1842,121,1
214,1842,121,1
215,1842,121,1
216,1842,121,1
217,1843,122,1
218,1843,121,1
219,1843,122,1
220,1843,122,1
221,1843,121,1
222,1843,121,1
223,1843,121,1
224,1843,121,1
225,1843,121,1
226,1843,121,1
227,1843,121,1
228,1842,121,1
229,1843,122,1
230,1843,122,1
231,1843,122,1
232,1843,122,1
233,1843,122,1
234,1843,122,1
235,1843,122,1
236,1843,122,1
237,1843,122,1
238,1843,122,1
239,1843,122,1
240,1843,122,1
241,1843,122,1
242,1843,122,1
243,1843,122,1
244,1843,122,1
245,1843,122,1
246,1843,122,1
247,1843,122,1
248,1843,122,1
249,1843,122,1
250,1843,122,1
251,1843,122,1
252,1843,122,1
253,1843,122,1
254,1843,122,1
255,1843,122,1
256,1843,122,1
257,1843,122,1
258,1843,122,1
259,1843,122,1
260,1843,122,1
261,1843,122,1
262,1843,122,1
263,1843,122,1
264,1843,122,1
