frame_index,x_centroid,y_centroid,visibility_flag
0,1844,123,1
1,1844,123,1
2,1844,123,1
3,1844,123,1
4,1844,123,1
5,1844,123,1
6,1844,123,1
7,1844,123,1
8,1844,123,1
9,1844,123,1
10,1844,123,1
11,1844,123,1
12,1844,123,1
13,1844,123,1
14,1844,123,1
15,1844,122,1
16,1844,122,1
17,1844,122,1
18,1844,122,1
19,1844,122,1
20,1844,122,1
21,1844,122,1
22,1844,122,1
23,1844,122,1
24,1844,123,1
25,1844,123,1
26,1844,123,1
27,1844,123,1
28,1844,123,1
29,1844,123,1
30,1844,123,1
31,1844,123,1
32,1844,123,1
33,1844,123,1
34,1844,123,1
35,1844,123,1
36,1844,123,1
37,1844,123,1
38,1844,123,1
39,1844,123,1
40,1844,123,1
41,1844,123,1
42,1844,123,1
43,1844,123,1
44,1844,123,1
45,1844,123,1
46,1844,123,1
47,1844,123,1
48,1844,123,1
49,1844,123,1
50,1844,123,1
51,1844,123,1
52,1844,123,1
53,1844,123,1
54,1844,123,1
55,1844,123,1
56,1844,123,1
57,1844,123,1
58,1844,123,1
59,1844,123,1
60,1844,123,1
61,1844,123,1
62,1844,123,1
63,1844,123,1
64,1844,123,1
65,1844,123,1
66,1844,123,1
67,1844,123,1
68,1844,123,1
69,1844,123,1
70,1844,123,1
71,1844,123,1
72,1844,123,1
73,1844,123,1
74,1844,123,1
75,1844,123,1
76,1844,123,1
77,1844,123,1
78,1844,123,1
79,1844,123,1
80,1844,123,1
81,1844,123,1
82,1844,123,1
83,1844,123,1
84,1844,123,1
85,1844,123,1
86,1844,123,1
87,1844,123,1
88,1844,123,1
89,1844,123,1
90,1844,123,1
91,1844,123,1
92,1844,123,1
93,1844,123,1
94,1844,123,1
95,1844,123,1
96,1844,123,1
97,1844,123,1
98,1844,123,1
99,1844,123,1
100,1844,123,1
101,1844,123,1
102,1844,123,1
103,1844,123,1
104,1844,123,1
105,1844,123,1
106,1844,123,1
107,1844,123,1
108,1844,123,1
109,1844,123,1
110,1844,123,1
111,1844,123,1
112,1844,123,1
113,1844,123,1
114,1844,123,1
115,1844,123,1
116,1844,123,1
117,1844,123,1
118,1844,123,1
119,1844,123,1
120,1844,123,1
121,1844,123,1
122,1844,123,1
123,1844,123,1
124,1844,123,1
125,1844,123,1
126,1844,123,1
127,1844,123,1
128,1844,123,1
129,1844,123,1
130,1844,123,1
131,1844,123,1
132,1844,123,1
133,1844,123,1
134,1844,123,1
135,1844,123,1
136,1844,123,1
137,1844,123,1
138,1844,123,1
139,1844,123,1
140,1844,123,1
141,1844,123,1
142,1844,123,1
143,1844,123,1
144,1844,123,1
145,1844,123,1
146,1844,123,1
147,1844,123,1
148,1844,123,1
149,1844,123,1
150,1844,123,1
151,1844,123,1
152,1844,123,1
153,1844,123,1
154,1844,123,1
155,1844,123,1
156,1844,123,1
157,1844,123,1
158,1844,123,1
159,1844,123,1
160,1844,123,1
161,1844,123,1
162,1844,123,1
163,1844,123,1
164,1844,123,1
165,1844,123,1
166,1844,123,1
167,1844,123,1
168,1844,123,1
169,1844,123,1
170,1844,123,1
171,1844,123,1
172,1844,123,1
173,1844,123,1
174,1844,123,1
175,1844,123,1
176,1844,122,1
177,1844,122,1
178,1844,122,1
179,1844,122,1
180,1844,122,1
181,1844,122,1
182,1844,123,1
183,1844,123,1
184,1844,123,1
185,1844,123,1
186,1844,122,1
187,1844,122,1
188,1844,122,1
189,1844,123,1
190,1844,122,1
191,1844,123,1
192,1844,122,1
193,1844,122,1
194,1844,122,1
195,1844,123,1
196,1844,122,1
197,1844,122,1
198,1844,122,1
199,1844,122,1
200,1844,122,1
201,1844,122,1
202,1844,122,1
203,1844,122,1
204,1845,123,1
205,1845,123,1
206,1844,122,1
207,1844,122,1
208,1844,122,1
209,1844,122,1
210,1844,123,1
211,1844,123,1
212,1844,123,1
213,1844,123,1
214,1844,123,1
215,1845,123,1
216,1844,122,1
217,1844,123,1
218,1844,123,1
219,1844,123,1
220,1844,123,1
221,1844,123,1
222,1844,123,1
223,1844,123,1
224,1844,123,1
225,1844,123,1
226,1844,123,1
227,1844,123,1
228,1844,122,1
229,1844,122,1
230,1844,122,1
231,1844,122,1
232,1844,123,1
233,1844,123,1
234,1844,123,1
235,1844,122,1
236,1844,122,1
237,1844,122,1
238,1844,122,1
239,1844,122,1
240,1844,123,1
241,1844,123,1
242,1844,123,1
243,1844,123,1
244,1844,123,1
245,1844,122,1
246,1844,122,1
247,1844,122,1
248,1844,122,1
249,1844,122,1
250,1844,122,1
251,1844,122,1
252,1844,123,1
253,1844,123,1
254,1844,123,1
255,1844,122,1
256,1844,122,1
257,1844,122,1
258,1844,122,1
259,1844,122,1
260,1844,123,1
261,1844,123,1
