frame_index,x_centroid,y_centroid,visibility_flag
0,1762,842,1
1,1762,842,1
2,1762,842,1
3,1762,842,1
4,1763,842,1
5,1763,842,1
6,1762,842,1
7,1762,842,1
8,1762,842,1
9,1762,842,1
10,1762,842,1
11,1762,842,1
12,1762,841,1
13,1762,841,1
14,1762,841,1
15,1762,841,1
16,1762,841,1
17,1762,841,1
18,1762,841,1
19,1762,841,1
20,1762,841,1
21,1762,841,1
22,1762,841,1
23,1762,841,1
24,1762,842,1
25,1762,842,1
26,1762,842,1
27,1762,842,1
28,1762,842,1
29,1762,842,1
30,1762,842,1
31,1762,842,1
32,1762,842,1
33,1762,842,1
34,1762,842,1
35,1762,842,1
36,1762,842,1
37,1762,842,1
38,1762,842,1
39,1762,842,1
40,1762,842,1
41,1762,842,1
42,1762,842,1
43,1762,842,1
44,1762,842,1
45,1762,842,1
46,1762,842,1
47,1762,842,1
48,1762,842,1
49,1762,842,1
50,1762,842,1
51,1762,842,1
52,1762,842,1
53,1762,842,1
54,1762,842,1
55,1762,842,1
56,1762,842,1
57,1762,842,1
58,1763,842,1
59,1763,842,1
60,1762,842,1
61,1762,842,1
62,1762,842,1
63,1762,842,1
64,1762,842,1
65,1762,842,1
66,1762,842,1
67,1762,842,1
68,1762,842,1
69,1762,842,1
70,1762,842,1
71,1762,842,1
72,1762,842,1
73,1762,842,1
74,1762,842,1
75,1762,842,1
76,1762,842,1
77,1762,842,1
78,1762,842,1
79,1762,842,1
80,1762,842,1
81,1762,842,1
82,1762,842,1
83,1762,842,1
84,1762,842,1
85,1762,842,1
86,1762,842,1
87,1762,842,1
88,1762,842,1
89,1762,842,1
90,1762,842,1
91,1762,842,1
92,1762,842,1
93,1762,842,1
94,1762,842,1
95,1762,842,1
96,1762,842,1
97,1762,842,1
98,1762,842,1
99,1762,842,1
100,1762,842,1
101,1762,842,1
102,1762,842,1
103,1762,842,1
104,1762,842,1
105,1762,842,1
106,1762,842,1
107,1762,842,1
108,1762,842,1
109,1762,842,1
110,1762,842,1
111,1762,842,1
112,1762,842,1
113,1762,842,1
114,1762,842,1
115,1762,842,1
116,1762,842,1
117,1762,842,1
118,1762,842,1
119,1762,842,1
120,1762,842,1
121,1762,842,1
122,1762,842,1
123,1762,842,1
124,1762,842,1
125,1762,842,1
126,1762,842,1
127,1762,842,1
128,1762,842,1
129,1762,842,1
130,1762,842,1
131,1762,842,1
132,1762,842,1
133,1762,842,1
134,1762,842,1
135,1762,842,1
136,1762,842,1
137,1762,842,1
138,1762,842,1
139,1762,842,1
140,1762,842,1
141,1762,842,1
142,1762,842,1
143,1762,842,1
144,1762,842,1
145,1762,842,1
146,1762,842,1
147,1762,842,1
148,1762,842,1
149,1762,842,1
150,1762,842,1
151,1762,842,1
152,1762,842,1
153,1762,842,1
154,1762,842,1
155,1762,842,1
156,1762,842,1
157,1762,842,1
158,1762,842,1
159,1762,842,1
160,1762,842,1
161,1762,842,1
162,1762,842,1
163,1762,842,1
164,1762,842,1
165,1762,842,1
166,1762,842,1
167,1762,842,1
168,1762,842,1
169,1762,842,1
170,1762,842,1
171,1762,842,1
172,1762,842,1
173,1844,122,1
174,1844,122,1
175,1844,122,1
176,1762,841,1
177,1844,122,1
178,1844,122,1
179,1844,122,1
180,1763,842,1
181,1763,842,1
182,1763,842,1
183,1763,842,1
184,1763,842,1
185,1844,123,1
186,1844,123,1
187,1844,123,1
188,1844,123,1
189,1844,123,1
190,1844,123,1
191,1844,123,1
192,1762,842,1
193,1762,842,1
194,1762,842,1
195,1762,842,1
196,1762,842,1
197,1762,842,1
198,1762,842,1
199,1762,842,1
200,1762,842,1
201,1762,842,1
202,1762,842,1
203,1762,842,1
204,1762,842,1
205,1762,842,1
206,1762,842,1
207,1762,842,1
208,1762,842,1
209,1762,842,1
210,1762,842,1
211,1762,842,1
212,1762,842,1
213,1762,842,1
214,1762,842,1
215,1762,842,1
216,1762,842,1
217,1762,842,1
218,1762,842,1
219,1762,842,1
220,1762,842,1
221,1762,842,1
222,1762,842,1
223,1762,842,1
224,1762,842,1
225,1762,842,1
226,1762,842,1
227,1762,842,1
228,1762,842,1
229,1762,842,1
230,1762,842,1
231,1762,842,1
232,1762,842,1
233,1762,842,1
234,1762,842,1
235,1762,842,1
236,1762,842,1
237,1762,842,1
238,1762,842,1
239,1762,842,1
240,1762,842,1
241,1762,842,1
242,1762,842,1
243,1762,842,1
244,1762,842,1
245,1762,841,1
246,1762,841,1
247,1762,841,1
248,1762,841,1
249,1762,841,1
250,1762,841,1
251,1762,841,1
252,1762,841,1
253,1762,841,1
254,1762,841,1
255,1762,841,1
256,1762,841,1
257,1762,842,1
258,1762,842,1
259,1762,841,1
260,1762,841,1
261,1762,841,1
262,1762,841,1
263,1762,841,1
264,1762,841,1
265,1762,841,1
266,1762,841,1
267,1762,841,1
268,1762,841,1
269,1762,841,1
270,1762,841,1
271,1762,841,1
272,1762,841,1
273,1762,841,1
274,1762,841,1
275,1762,841,1
276,1762,842,1
277,1762,842,1
278,1762,842,1
279,1762,842,1
280,1762,842,1
281,1762,842,1
282,1762,842,1
283,1762,842,1
284,1762,842,1
285,1762,842,1
286,1762,841,1
287,1762,842,1
288,1762,842,1
289,1762,842,1
290,1762,842,1
291,1762,842,1
292,1762,842,1
