epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,1389.53,1.96684,1.2293,0.9089,0.69278,0.8,0.74052,0.30717,1.99604,1.15279,0.84521,0.001274,0.001274,0.001274
46,1418.31,1.94099,1.22778,0.90367,0.73503,0.8,0.70898,0.30877,2.06971,1.04841,0.84857,0.0012575,0.0012575,0.0012575
47,1447.4,2.03841,1.12233,0.93254,0.60073,0.60194,0.56699,0.30641,2.01936,1.29262,0.85204,0.001241,0.001241,0.001241
48,1481.36,2.0392,1.19205,0.94109,0.61361,0.8,0.65551,0.28468,1.84729,1.12139,0.83488,0.0012245,0.0012245,0.0012245
49,1514.25,1.99262,1.235,0.96016,0.74554,0.8,0.69339,0.29834,1.78733,1.10748,0.82893,0.001208,0.001208,0.001208
50,1542.89,1.94273,1.16675,0.90555,0.5829,0.66667,0.51508,0.25766,1.85585,1.18177,0.82315,0.0011915,0.0011915,0.0011915
51,1571.45,2.01717,1.19133,0.90221,0.63849,0.6,0.57934,0.29596,1.84235,1.22145,0.83464,0.001175,0.001175,0.001175
52,1600.47,2.05395,1.07018,0.89502,0.51762,0.8,0.65942,0.24185,1.98975,1.20364,0.84154,0.0011585,0.0011585,0.0011585
53,1630.51,1.87713,1.04447,0.89972,0.68782,0.8,0.6418,0.2884,1.88185,1.09404,0.83593,0.001142,0.001142,0.001142
54,1659.99,2.00526,1.00584,0.96122,0.75312,0.86667,0.77694,0.33998,1.89404,1.01788,0.8378,0.0011255,0.0011255,0.0011255
55,1697.18,1.94364,1.11792,0.90301,0.63723,0.73333,0.64316,0.30347,1.93609,1.177,0.83166,0.001109,0.001109,0.001109
56,1731.13,1.90929,1.13692,0.9292,0.70268,0.78838,0.65991,0.30543,1.81795,1.17828,0.82604,0.0010925,0.0010925,0.0010925
57,1761.3,1.91492,1.22858,0.94355,0.60528,0.73333,0.68052,0.32844,1.71737,1.15975,0.82603,0.001076,0.001076,0.001076
58,1795.14,1.88688,1.1077,0.89143,0.70931,0.66667,0.6567,0.32832,1.88331,1.12158,0.81397,0.0010595,0.0010595,0.0010595
59,1825.94,1.8157,1.01985,0.90268,0.80138,0.6,0.60989,0.3087,1.81974,1.17419,0.82791,0.001043,0.001043,0.001043
60,1854.81,1.76901,1.04228,0.88572,0.7553,0.66667,0.6673,0.31486,1.82336,1.11223,0.82974,0.0010265,0.0010265,0.0010265
61,1887.27,1.81575,0.96479,0.91562,0.64336,0.73333,0.60208,0.29374,1.84759,1.22617,0.82142,0.00101,0.00101,0.00101
62,1921.73,1.78557,0.93665,0.90746,0.68013,0.73333,0.60842,0.28876,1.93532,1.14684,0.82852,0.0009935,0.0009935,0.0009935
63,1953.2,1.93491,1.00191,0.86733,0.71889,0.85307,0.65898,0.31901,1.74374,0.98274,0.82164,0.000977,0.000977,0.000977
64,1987.2,1.87148,1.04539,0.88416,0.72048,0.73333,0.66505,0.29382,1.75812,1.0333,0.81541,0.0009605,0.0009605,0.0009605
65,2016.54,1.80328,0.96261,0.90162,0.65293,0.73333,0.63664,0.30361,1.74559,1.15987,0.8193,0.000944,0.000944,0.000944
66,2045.49,1.77982,1.02027,0.8923,0.55963,0.73333,0.55896,0.27574,1.70798,1.19016,0.82694,0.0009275,0.0009275,0.0009275
67,2077.11,1.71321,0.90486,0.86204,0.61346,0.8,0.63483,0.2678,1.88183,1.12635,0.82171,0.000911,0.000911,0.000911
68,2106.63,1.68956,0.96202,0.89067,0.79032,0.8,0.70596,0.29944,1.90967,1.09245,0.82087,0.0008945,0.0008945,0.0008945
69,2136.81,1.77268,0.91877,0.90323,0.80309,0.86667,0.73679,0.3316,1.89291,1.00449,0.82599,0.000878,0.000878,0.000878
70,2168.27,1.81281,0.89753,0.87884,0.75126,0.8057,0.69897,0.33263,1.76314,1.01864,0.82462,0.0008615,0.0008615,0.0008615
71,2201.18,1.67786,0.90491,0.87769,0.52432,0.73333,0.57436,0.29352,1.8284,1.15365,0.82327,0.000845,0.000845,0.000845
