frame,x,y
0,1356,310
1,1356,310
2,1356,311
3,1356,311
4,1356,311
5,1356,310
6,1357,311
7,1356,310
8,1356,310
9,1357,311
10,1357,311
11,1357,311
12,1357,311
13,1357,311
14,1357,311
15,1356,311
16,1356,311
17,1356,310
18,1356,311
19,1356,310
20,1356,310
21,1356,310
22,1356,310
23,1356,310
24,1356,310
25,1356,310
26,1356,310
27,1356,310
28,1356,310
29,1356,310
30,1356,310
31,1356,310
32,1356,310
33,1356,310
34,1356,310
35,1356,311
36,1831,805
37,1357,312
38,1357,312
39,1356,312
40,1356,313
41,1355,313
42,1355,312
43,1353,313
44,1353,313
45,1352,313
46,1351,313
47,1350,313
48,1348,314
49,1347,314
50,1344,315
51,1342,315
52,1342,315
53,1342,315
54,1340,317
55,1338,317
56,1338,316
58,1172,574
61,1174,469
63,1176,457
64,1179,454
65,1180,454
66,1182,453
67,1719,781
68,1268,275
69,1189,462
70,1189,462
71,1190,469
72,1267,272
73,1265,270
74,1266,266
75,1266,265
76,1321,312
77,1321,312
78,1321,313
79,1260,249
80,1258,246
81,1258,246
82,1257,244
83,1322,311
84,1248,239
85,1246,237
86,1246,237
87,1243,236
88,1238,237
89,1239,237
90,1237,238
95,1286,404
96,1286,404
103,1238,235
104,1238,235
105,1238,234
106,1238,234
107,1241,233
108,1242,231
109,1241,231
111,1258,437
112,1258,437
113,1248,226
114,1249,225
115,1249,225
117,1254,217
118,1255,215
119,1256,213
120,1258,210
121,1257,209
123,1254,205
124,1254,205
125,1252,204
126,1250,202
129,1240,199
130,1236,198
131,1234,198
135,1224,193
138,1224,189
145,1222,184
146,1270,597
148,1127,949
154,1181,669
156,1240,183
157,1123,949
158,1123,949
159,1195,706
160,1198,700
163,1667,803
177,1300,628
178,1300,628
179,1301,629
180,1301,629
181,1303,629
182,1303,629
183,1303,631
184,1303,631
185,1304,631
186,1304,631
220,1237,340
221,1237,340
224,1238,341
225,1276,326
235,1272,326
236,1272,326
237,1271,325
238,1271,325
239,2294,109
240,2294,109
241,1306,662
242,1306,662
266,1398,302
267,1398,302
268,1349,553
269,1349,553
270,1350,552
271,1350,552
272,1350,552
273,1350,550
