frame,x,y
1,6,135
2,6,135
3,6,135
4,6,135
5,6,135
6,6,135
7,6,135
8,6,135
9,6,135
10,6,135
11,6,135
12,6,135
13,6,135
14,6,135
15,6,135
16,6,135
17,6,135
18,6,135
19,6,135
20,6,135
21,6,135
26,6,135
27,6,135
28,6,135
29,6,135
30,6,135
33,1785,933
34,1785,933
35,6,135
36,6,135
37,1471,62
38,1471,62
39,1471,62
40,1471,62
41,1471,62
42,1471,62
43,1471,62
44,1471,62
45,1471,62
46,1471,62
47,1471,62
48,1471,62
49,932,422
50,932,422
51,954,411
52,954,411
53,954,411
54,955,411
55,1471,62
56,1471,62
57,1471,62
58,1471,62
59,1471,62
60,1471,62
61,1471,62
62,1471,62
63,1471,62
64,1471,62
65,1471,62
66,1471,62
67,1471,62
68,1471,62
69,1471,62
70,1471,62
71,1471,62
72,1471,62
73,1471,62
74,1471,62
75,1471,62
76,1471,62
77,1471,62
78,1471,62
79,1471,62
80,1471,62
81,1471,62
82,1471,62
83,1471,62
84,1471,62
85,1471,62
86,1471,62
87,1471,62
88,1471,62
89,1471,62
90,1471,62
91,1471,62
92,1471,62
93,1471,62
94,1471,62
95,1471,62
96,1471,62
97,1471,62
98,1471,62
99,1471,62
100,1471,62
101,1471,62
102,1471,62
103,1471,62
104,1471,62
105,1471,62
106,1471,62
107,1471,62
108,1210,751
109,1211,746
110,1471,62
111,1471,62
112,1471,62
113,1471,62
114,1471,62
115,1699,924
116,1279,190
117,1471,62
118,1471,62
119,1471,62
120,1471,62
121,1471,62
122,1471,62
123,1471,62
124,1471,62
125,1471,62
126,1471,62
127,1471,62
128,1471,62
129,1471,62
130,1471,62
131,1471,62
132,1471,62
133,1327,158
134,1471,62
135,1471,62
136,1471,62
137,2010,856
138,2010,856
139,2010,856
140,2010,857
141,2010,857
142,2011,857
143,2011,857
144,2011,857
145,2011,857
146,2011,857
147,2011,857
148,2011,857
149,2011,857
150,2011,857
151,2011,857
152,2011,857
153,2011,857
154,2011,857
155,2011,857
156,2011,857
157,2011,857
158,2011,857
159,2011,857
160,1993,725
161,1993,725
162,1993,725
163,1993,725
164,1993,725
165,1993,725
166,1993,725
167,1993,725
168,1993,725
169,1993,725
170,1993,725
171,1993,725
172,1993,725
173,1993,725
174,1993,725
175,1993,725
176,1993,725
