frame,x,y
4,1255,1023
5,1255,1022
20,1292,1025
21,1292,1025
22,1292,1026
23,1253,385
24,1253,389
25,1253,389
26,1253,389
28,1336,994
29,1336,994
30,1336,994
31,1256,412
32,1256,412
33,1300,370
34,1300,370
35,1300,370
36,1301,374
37,1300,375
38,1300,379
39,1300,379
40,1300,379
41,2491,1044
42,2491,1044
43,1318,404
44,2491,1044
45,1398,1006
46,1398,1006
47,1293,395
48,1293,395
49,1293,395
50,2491,1044
51,1291,397
52,1291,397
53,1291,397
54,2491,1044
56,2491,1044
57,1417,407
58,1416,407
59,1417,407
60,1416,408
61,1393,926
62,1393,927
63,1393,927
64,1416,408
65,1416,408
66,1416,407
67,1416,407
68,1416,408
69,1416,408
70,1416,408
71,1416,408
72,1416,408
73,1416,408
74,1416,408
75,1416,408
76,1416,408
77,1416,408
78,1416,408
79,1416,408
80,1416,408
81,1416,408
82,1416,408
83,1420,878
84,1288,402
85,1415,409
86,1415,409
87,1415,409
88,1416,409
89,1416,409
90,1416,409
91,1289,402
92,1289,402
93,1289,402
94,1289,402
95,1289,402
96,1290,401
97,1533,778
98,1533,778
99,1533,778
102,1490,622
103,1490,622
104,1291,398
105,1301,482
106,1291,397
107,1291,397
108,1445,426
109,1445,426
110,1438,410
111,1438,410
112,1434,395
113,1434,395
114,1428,385
115,1428,385
116,1428,385
117,1422,379
118,1418,376
119,1418,376
120,1418,376
121,1413,376
122,1290,394
123,1290,394
124,1290,394
125,1290,394
126,1573,808
127,1573,807
128,1558,846
129,1558,846
130,1534,878
131,1534,879
132,1534,879
133,1389,435
134,1385,452
135,1385,452
136,1385,452
137,1384,471
138,1380,497
139,1380,497
140,1380,497
141,1377,517
142,1377,517
151,1366,597
152,1366,597
156,1356,549
160,1351,377
161,1416,403
162,1416,403
163,1416,403
169,1303,363
170,1303,362
171,1301,362
172,1301,362
173,1174,569
174,1174,569
178,1352,407
179,1352,407
180,1354,412
181,1354,412
182,1354,412
183,1100,588
184,1100,588
189,1036,589
190,1036,589
191,1036,589
192,1014,590
193,1014,590
194,990,591
195,990,591
196,963,597
197,963,597
198,936,604
199,936,604
200,936,604
201,907,614
202,907,614
203,879,615
204,879,615
205,879,615
206,852,618
207,820,627
208,820,627
209,820,627
210,790,630
211,790,630
212,762,633
213,762,633
214,762,633
215,732,635
216,732,635
217,704,634
218,704,634
219,680,638
220,680,638
221,656,642
222,656,642
223,656,642
224,635,638
225,821,333
226,822,333
227,822,333
228,822,333
235,539,643
236,539,643
237,539,643
238,521,646
239,521,646
240,501,648
241,501,647
242,482,649
243,482,649
244,464,650
245,464,650
246,464,650
247,445,652
248,445,652
249,428,653
250,428,653
251,428,653
252,412,653
253,395,654
254,395,654
255,395,654
256,378,657
257,378,657
258,361,658
259,361,658
260,361,658
261,345,659
262,330,659
263,330,659
264,330,659
