frame,x,y
11,1220,1021
12,1220,1021
13,1220,1021
14,1220,1021
15,1220,1021
16,1220,1021
17,1221,1021
18,1221,1021
19,1221,1021
40,1078,601
41,1079,601
42,1079,601
48,1069,574
49,1082,593
50,1082,593
51,1082,593
52,1095,647
53,1095,647
54,1095,647
55,1093,726
56,1093,726
59,1097,851
60,1097,851
61,1097,851
62,1072,813
70,1123,442
71,1123,442
72,1133,410
73,1133,410
74,1133,410
75,1143,380
76,1143,380
77,1152,357
78,1152,357
79,1152,357
80,1162,340
81,1162,340
82,1169,323
83,1169,323
84,1169,324
85,1178,315
86,1184,311
87,1184,311
88,1192,310
89,1192,310
90,1196,312
91,1196,312
92,1196,312
93,1202,318
94,1202,318
95,1207,328
96,1208,328
97,1207,328
98,1211,340
99,1211,340
100,1217,355
101,1217,355
102,1217,355
103,1221,374
104,1221,375
105,1225,395
106,1225,395
107,1225,395
108,1227,422
111,1233,478
112,1233,478
113,1236,511
114,1236,511
115,1236,511
116,1237,544
117,1237,543
118,1239,583
119,1239,583
120,1239,583
126,1212,519
127,1212,519
128,1197,494
129,1197,494
130,1184,476
131,1171,458
132,1171,458
133,1171,458
134,1158,444
135,1158,444
136,1144,436
137,1144,436
138,1144,436
139,1132,429
140,1132,429
141,1120,425
142,1120,425
143,1120,425
144,1108,425
145,1108,425
146,1098,428
147,1098,428
148,1098,428
149,1086,434
150,1086,434
151,1074,443
152,1065,455
153,1065,455
154,1054,469
155,1054,470
156,1054,470
157,1046,487
158,1046,487
159,1036,471
160,1036,471
161,1036,471
164,1015,428
165,1015,428
166,1015,428
169,995,403
170,1049,951
171,982,391
172,982,391
173,971,385
174,971,385
175,971,385
176,960,381
177,949,380
178,949,380
179,949,380
180,999,405
181,999,405
182,928,387
183,928,387
184,928,387
185,916,396
186,916,396
187,905,407
188,905,407
189,905,407
190,894,422
191,894,421
192,882,438
193,882,438
194,882,438
195,872,459
196,862,482
197,862,482
198,862,482
199,850,496
200,842,489
201,842,490
202,842,490
203,832,486
204,833,485
205,823,486
206,823,486
207,823,486
208,813,490
209,813,490
210,804,494
211,804,494
212,804,494
213,794,498
214,794,498
215,782,498
216,782,498
236,855,449
