frame,x,y
21,945,1035
24,877,795
25,877,795
26,877,795
54,850,844
85,904,580
86,904,580
93,913,526
97,907,518
98,907,518
99,907,518
100,909,523
120,955,482
121,955,482
122,968,492
123,968,492
124,979,507
125,979,507
126,979,507
127,991,522
128,1006,543
129,1006,543
130,1006,543
131,840,897
132,840,897
133,1034,590
134,1034,590
135,1034,590
136,830,609
137,830,609
138,811,608
139,811,608
140,811,608
141,797,625
142,797,625
143,783,652
144,783,652
145,1187,311
146,1187,311
150,1155,601
154,1193,541
155,1193,541
156,1211,518
157,1211,518
158,1211,518
168,1131,449
169,1131,449
170,1319,487
171,1319,487
172,1324,489
173,1324,489
174,1298,310
175,1298,310
179,947,455
180,947,455
181,947,455
182,1321,487
183,1321,487
184,882,480
185,882,480
186,850,497
187,850,497
188,816,518
189,816,518
190,816,518
202,721,413
203,721,413
209,551,501
210,523,507
211,523,507
212,494,515
213,494,515
214,530,499
215,530,499
216,530,499
217,440,534
218,414,521
219,414,521
220,414,521
221,388,513
222,389,513
223,362,503
224,362,503
225,362,503
226,446,515
227,446,515
228,311,502
229,311,502
230,311,502
231,287,503
232,262,509
233,262,509
234,262,509
235,237,516
236,237,516
237,213,522
238,213,522
239,213,522
240,190,512
241,166,502
242,167,502
243,167,502
244,684,318
245,684,318
246,122,496
247,122,496
248,122,496
249,99,497
250,77,500
251,77,500
252,77,500
253,55,507
254,55,507
255,555,349
256,555,349
257,22,502
258,22,502
259,22,502
260,15,499
261,15,499
