frame,x,y
1,1604,858
3,1605,858
4,1605,858
18,1027,731
27,1021,598
28,1021,598
48,1074,517
49,1074,517
50,1797,776
51,1798,776
54,1102,387
55,1102,387
56,1106,373
57,1106,373
58,1106,373
59,1106,373
60,1111,368
61,1111,368
62,1117,366
63,1117,366
64,1798,776
65,1798,776
68,1801,775
69,1801,775
70,1801,775
71,1205,541
72,1205,541
73,1801,775
74,1801,775
75,1802,774
76,1802,774
77,1802,773
78,1802,773
79,1204,534
80,1204,534
96,1124,697
98,1161,519
99,1161,519
100,1801,766
101,1801,766
102,1799,762
103,1799,762
104,1799,762
105,1799,762
108,1097,526
109,1097,526
110,1041,508
111,1041,508
112,989,494
113,989,494
114,934,484
115,934,484
116,934,485
117,934,484
118,880,479
119,880,479
120,826,476
121,773,477
122,719,482
123,667,492
124,667,492
125,667,492
126,612,504
127,560,520
128,560,520
129,508,541
130,455,565
131,404,593
132,404,593
133,351,624
134,311,630
135,281,614
136,254,600
137,254,600
138,253,599
139,227,588
140,227,589
141,169,579
142,169,579
143,169,579
144,114,583
145,114,583
146,114,583
147,114,583
148,85,592
149,85,592
150,85,592
151,29,620
152,29,620
153,29,620
154,2009,855
155,2009,856
156,2010,856
157,2010,856
158,2010,856
159,2010,856
160,2010,856
161,2010,856
162,2010,856
163,2010,856
164,2010,856
165,2010,856
166,2010,856
167,2010,856
168,2010,856
169,2010,856
170,2010,856
171,2010,856
172,2010,856
173,2010,856
174,2010,856
175,2010,856
176,2010,856
177,2010,856
178,2010,856
179,2010,856
180,2010,856
181,2010,856
182,2010,856
183,2010,856
184,2010,856
185,2010,856
186,2010,856
187,2010,856
188,2010,856
189,2010,856
190,2010,856
191,2010,856
192,2010,856
193,2010,856
194,2010,856
195,2010,856
