frame,x,y
0,1189,727
1,1200,717
2,1205,709
3,1212,691
4,1212,684
8,1638,771
11,1626,790
25,1250,744
27,1227,636
28,1748,805
29,1221,539
30,1238,493
31,1248,472
32,1252,465
33,1262,449
34,1262,449
47,1653,934
56,1285,550
58,1332,549
64,1425,543
65,1465,548
66,1508,466
67,1542,469
68,1558,470
69,1590,476
70,1606,482
71,1639,490
72,1671,502
73,1687,510
74,1731,497
75,1744,487
76,1744,487
77,1770,472
78,1783,465
79,1811,453
80,1836,443
81,1849,439
82,1875,435
83,1888,433
84,1912,429
85,1912,429
86,1937,429
87,1949,430
88,1949,430
89,1985,438
90,1985,438
91,1997,442
92,1997,442
93,2019,451
94,2019,452
95,2030,445
96,2030,445
97,2053,435
98,2053,435
99,2076,426
100,2076,426
101,2086,422
102,2086,422
103,2108,419
104,2108,419
105,1539,440
106,2119,415
107,1539,446
108,1539,446
109,2163,418
110,2163,418
111,2172,419
112,2193,420
113,2193,420
114,2203,414
115,2203,414
116,2232,405
117,2232,405
118,2242,404
119,2242,404
120,1406,487
121,1406,487
122,1414,490
123,1414,490
124,2290,402
125,2290,402
126,2308,398
127,2308,398
128,2316,396
129,2316,396
130,2334,390
131,2334,390
132,2353,386
133,2353,386
134,2360,386
135,2360,386
140,2409,377
141,2417,375
142,2417,375
143,2432,374
144,2432,374
145,2448,373
146,2448,373
147,2454,372
148,2454,372
149,2470,365
150,2470,365
151,1452,517
152,1452,517
153,1458,520
154,1458,520
155,1465,530
156,1465,530
157,2515,356
158,2515,356
162,1672,777
163,1672,777
167,2011,855
168,2012,854
169,2012,854
170,2012,854
171,2013,853
172,2543,102
173,2544,102
174,2543,102
176,2543,100
177,2543,100
178,2543,100
179,2543,100
180,2543,100
181,2543,100
182,2543,100
183,2543,100
184,2543,100
185,2543,100
186,2543,100
187,2543,100
188,2543,100
189,2543,100
190,2543,100
191,1601,700
192,1601,700
193,2543,100
194,2543,100
195,1738,709
196,1738,709
197,1742,712
198,1742,712
199,2543,101
200,2543,101
