frame,x,y
0,1244,384
1,1244,384
4,1353,1079
6,1353,1079
7,1242,390
8,1241,393
9,1238,394
10,1238,394
16,1230,394
17,1230,393
18,1230,393
19,1229,394
20,1229,393
21,1229,393
22,1230,393
23,1230,393
24,1230,394
25,1230,394
26,1230,394
27,1230,395
28,1231,395
29,1230,395
30,1230,395
31,1726,750
33,1230,395
34,1230,394
35,1230,393
36,1734,751
46,1730,752
47,1730,752
48,1729,753
49,1729,753
52,1729,751
53,1729,751
54,1731,751
55,1731,751
58,1052,1086
64,1741,743
65,1741,743
68,1744,746
89,1743,743
90,1743,743
91,1742,745
92,1742,745
93,1744,746
94,1744,746
95,1747,745
96,1747,745
99,1046,1250
100,1046,1250
101,1100,971
102,1749,885
103,1749,885
104,1746,747
105,1746,747
106,1743,746
107,1743,746
108,1686,870
109,1686,870
110,1687,866
111,1687,865
112,1688,866
113,1689,867
114,1690,869
115,1690,869
116,1688,869
117,1688,869
118,1742,874
119,1727,746
120,1727,746
121,1727,746
122,1353,1079
123,1729,746
124,1729,746
125,1142,882
126,1142,875
127,1141,870
128,1353,1080
129,1759,861
130,1757,867
131,1757,867
132,1353,1080
133,1353,1080
134,1353,1080
135,1353,1080
136,1353,1079
137,1353,1080
138,1354,1080
139,1353,1080
140,1353,1080
141,1353,1080
142,1353,1080
143,1353,1081
144,1353,1080
145,1354,1080
146,1354,1080
147,1353,1080
148,1353,1080
149,1352,1080
150,1353,1080
151,1353,1079
152,1353,1080
153,1353,1079
154,1176,731
155,1354,1079
156,1727,734
157,1727,734
158,1727,734
159,1729,734
160,1730,733
161,1730,733
162,1754,870
163,1154,930
164,1203,631
165,1204,621
166,1755,870
167,1755,870
168,1755,870
170,1354,1080
171,1353,1079
172,1353,1079
173,1353,1079
174,1353,1079
175,1354,1079
176,1354,1079
177,1354,1079
178,1755,868
179,1212,400
180,1212,400
181,1211,402
182,1165,514
183,1171,484
184,1171,476
185,1178,462
186,1182,451
187,1185,445
188,1190,439
189,1192,438
190,1197,436
191,1204,435
192,1207,436
193,1753,869
195,1213,405
196,1727,727
197,1234,470
198,1248,486
199,1252,493
200,1217,466
201,1217,466
202,1753,872
203,1753,873
204,1720,728
205,1719,727
206,1720,727
207,1353,1079
208,1353,1079
209,1723,727
212,1372,447
213,1379,446
214,1393,443
215,1408,444
216,1415,444
217,1430,446
218,1438,449
219,1462,458
220,1234,413
221,1235,412
222,1499,487
223,1238,410
224,1242,409
225,117,118
226,1352,1081
227,1256,408
228,1261,410
229,1266,413
230,1573,545
231,1579,540
232,1585,540
233,1592,541
234,1598,546
235,1602,549
236,1607,555
237,1752,869
238,1619,564
239,1752,868
240,1629,564
241,1637,564
242,1640,565
243,1646,567
244,1654,568
245,1659,570
246,1665,569
247,1750,871
248,1672,570
249,1676,570
250,1685,571
251,1692,569
252,1692,569
253,1698,571
254,1703,569
255,1703,569
256,1689,871
257,1288,1083
258,1288,1083
259,1764,740
260,1764,741
261,1764,741
262,1763,740
263,1347,483
264,1763,738
265,1734,574
266,1734,574
267,1740,574
268,1764,734
269,1764,734
270,1749,577
271,1753,577
272,1756,577
273,1758,578
274,1758,578
275,1761,579
276,1764,579
277,1764,579
278,1767,579
279,1770,581
280,1776,580
281,1779,581
282,1779,581
283,1782,580
284,1785,581
285,1785,581
286,1786,581
287,1786,581
288,1786,581
289,1787,581
290,1787,581
291,1789,583
292,1793,583
293,1793,583
294,1798,583
295,1799,583
296,1799,583
297,1802,582
298,1803,582
299,1803,582
300,1804,582
301,1804,583
302,1804,583
303,1805,583
304,1804,583
305,1804,583
306,344,745
307,1642,890
308,1808,585
309,1809,584
310,1809,584
311,1810,585
312,1812,585
313,1812,585
314,1811,584
315,1811,584
316,1809,585
317,1809,585
318,1808,585
319,1808,585
320,1807,586
321,1807,586
322,1806,586
323,1806,586
324,1805,587
325,1805,587
326,1806,585
327,1806,585
328,1806,587
329,1806,587
330,1806,584
331,1806,584
332,438,729
333,438,729
334,1808,583
335,1808,583
336,1808,584
337,1806,584
338,1806,584
339,1806,585
340,1806,585
341,1806,584
342,1806,585
343,1806,584
344,1806,584
345,1807,584
346,1807,584
347,1807,585
348,1807,585
349,1808,585
350,1808,585
351,1808,587
352,1808,587
353,1808,585
354,1808,585
355,522,710
356,522,710
357,1807,585
358,1807,585
359,1806,584
360,530,716
