frame,x,y
4,1447,74
45,937,380
46,937,380
53,981,406
54,981,406
56,1005,448
57,1005,449
64,1044,530
66,1139,536
67,1143,529
68,1135,520
69,1134,519
70,1111,732
77,1117,457
80,1122,456
81,1122,456
85,821,664
100,1312,631
101,1318,631
114,1404,695
115,1559,762
121,1460,711
127,2011,855
128,2011,857
129,2011,856
130,2011,857
131,2012,856
132,2012,856
133,2012,856
134,2012,856
135,2012,856
136,2012,856
137,2012,856
138,2012,856
139,2012,856
140,2012,856
141,2012,856
142,2012,856
143,2012,856
144,2012,856
145,2012,856
146,2012,856
147,2012,856
148,2012,856
149,2012,856
150,2012,856
151,2012,856
152,2012,856
153,2012,856
154,2012,856
155,2012,856
156,2012,856
157,2012,856
158,2012,856
159,2012,856
160,2012,856
161,2012,856
162,2012,856
163,2012,856
164,2012,856
165,2012,856
166,2012,856
167,2012,856
168,2012,856
169,2012,856
170,2012,856
171,2012,856
172,2012,856
173,2012,856
174,2012,856
175,2012,856
176,2012,856
177,2012,856
