frame,x,y
6,1336,938
7,1336,938
8,1641,834
9,1638,832
10,1627,831
11,1621,829
12,1339,937
13,1609,828
14,1671,634
15,1126,898
17,1662,636
18,1662,635
19,1658,637
23,1116,877
24,1116,877
26,1594,620
27,1339,937
28,329,254
29,1341,937
44,1339,937
45,1339,937
50,1331,362
51,1331,362
54,1609,799
55,1605,801
56,1153,479
57,1154,446
58,1160,432
59,1176,415
60,1186,407
62,1591,603
63,1591,604
64,1590,605
65,1589,607
66,1589,607
67,1589,607
68,1589,608
69,1243,424
70,1252,433
71,1255,441
72,1264,453
73,1162,770
74,1592,598
75,1170,759
77,1591,592
78,1592,592
82,1527,480
83,1579,481
84,1682,484
85,1785,486
86,1837,489
87,1109,747
88,2054,506
89,2109,513
90,1271,937
91,2220,527
92,2334,544
93,2334,543
96,1080,732
97,1569,587
101,1543,776
102,1542,776
103,1309,333
104,1565,568
105,1569,571
106,1569,576
107,1569,576
108,1574,575
109,1574,575
110,1575,570
111,1575,570
114,1574,560
115,1574,560
116,1574,557
117,1574,557
118,1602,588
119,1602,588
133,1338,937
134,1338,937
135,1337,937
136,1337,937
137,1336,937
138,1336,937
139,1336,937
140,1336,937
141,1335,936
142,1335,936
155,1510,540
156,1510,540
158,1302,335
159,1302,335
162,1301,335
163,1302,335
164,1315,206
165,1315,206
166,1315,205
167,1315,205
168,1315,205
169,1315,205
170,1315,205
175,1075,473
176,1075,473
177,1075,474
178,1309,216
179,1309,216
180,1340,334
181,1341,334
182,1341,334
183,1305,217
184,2012,859
185,1304,217
186,1304,217
187,1348,335
188,1348,335
189,1348,335
190,1348,335
206,1293,208
207,1293,208
208,1292,206
209,1292,206
210,1293,202
211,1293,202
214,1356,359
215,1356,359
226,1412,507
227,1393,364
228,1393,364
229,1394,366
230,1394,366
231,1399,362
232,1399,362
233,1402,360
234,1402,360
235,1404,361
236,1408,358
