frame,x,y
0,1274,535
1,1273,536
4,1545,953
5,1545,953
6,1545,953
17,1742,499
18,1742,499
19,1741,498
20,1741,498
21,1739,498
22,1739,498
23,1739,498
24,1739,498
25,1740,499
26,1740,499
30,1381,782
31,1381,782
32,1317,535
33,1317,535
34,1317,534
35,1317,534
36,1317,534
37,1316,538
38,1316,538
39,1316,538
44,1207,650
45,1207,650
46,1319,711
47,1319,711
48,1308,693
49,1308,693
50,1320,714
51,1320,714
52,1320,714
62,1280,876
63,1280,876
64,1787,512
65,1787,512
66,1787,512
71,1274,588
72,1267,582
73,1267,582
74,1267,582
75,1261,578
76,1261,579
77,1251,579
78,1251,579
79,1251,579
80,1246,581
81,1246,582
82,1242,588
83,1242,587
84,1242,588
85,1234,596
86,1234,596
87,1228,605
88,1228,605
89,1223,620
90,1223,620
91,1218,634
92,1218,634
93,1218,634
94,1214,651
95,1208,670
96,1208,670
97,1208,670
98,1202,692
99,1202,692
100,1201,716
101,1200,716
102,1201,716
103,1194,739
104,1194,739
105,1189,744
106,1189,744
107,1190,715
108,1190,715
112,1223,697
113,1223,697
114,1259,705
115,1259,705
118,1286,572
119,1286,572
120,1286,572
121,1369,734
122,1370,733
123,1402,728
124,1402,728
125,1434,727
126,1434,727
127,1464,728
128,1464,728
129,1464,728
130,1498,731
131,1498,731
132,1530,737
133,1530,737
134,1530,737
135,1558,740
136,1558,740
137,1582,735
138,1582,735
139,1603,730
140,1603,730
141,1234,506
142,1234,506
143,1652,730
144,1652,730
145,1675,737
146,1675,737
147,1675,737
148,1698,741
149,1698,741
150,1718,742
151,1718,742
152,1718,742
153,1737,734
154,1737,734
155,1756,731
156,1755,731
157,1755,731
158,1840,485
159,1840,485
160,1798,734
161,1798,734
162,1463,634
163,1463,634
164,1836,747
165,1836,747
166,1851,747
167,1851,747
168,1870,743
169,1870,743
170,1870,743
171,1889,742
172,1889,742
173,1905,742
174,1905,742
175,1906,742
176,1923,743
177,1923,743
178,1940,746
179,1940,746
180,1940,746
181,1957,754
182,1957,754
183,1910,742
184,1910,742
185,1993,758
186,1993,758
187,2010,749
188,2010,749
189,1910,742
190,2021,745
191,2034,743
192,2034,743
193,2034,743
194,887,808
195,887,808
196,2061,742
197,2061,742
198,2061,742
199,2074,745
200,2074,745
201,2086,751
202,2086,751
203,2086,751
204,2101,761
205,2101,761
206,2116,762
207,2116,762
208,2116,762
209,2129,759
210,1910,742
211,1910,742
212,2150,758
213,2150,758
214,2161,760
215,2161,760
216,2161,760
217,2170,765
218,2170,765
219,2183,765
220,2183,765
221,2183,765
222,1160,551
223,1160,551
224,1160,550
225,1160,550
226,1160,550
227,1159,551
228,1159,551
229,1161,555
230,1161,555
231,2238,770
232,2238,770
233,2249,771
234,2249,771
235,1182,565
236,1182,565
237,2270,769
238,2270,769
239,2270,769
240,2277,770
241,2277,770
242,2288,772
243,2288,772
244,2288,773
245,2296,771
246,2296,771
247,1848,492
248,1848,492
249,1848,492
250,2310,772
251,2310,772
252,1847,492
253,1847,492
254,1846,493
255,1846,493
256,2333,773
257,2333,773
258,2340,774
259,2340,774
260,2348,774
261,2348,774
262,2348,774
263,2350,774
264,2350,774
265,2357,772
266,2357,772
267,2357,772
268,2362,773
269,2362,773
270,2370,774
271,2370,774
272,2370,774
273,2374,774
274,2376,774
275,2376,774
276,2380,774
277,2380,774
278,2386,773
279,2386,773
280,2386,774
281,2387,773
282,2387,773
283,2391,775
284,2391,775
285,2390,775
286,2393,775
287,2393,775
288,2393,775
289,2393,775
290,2393,775
291,2393,775
292,2393,775
