frame,x,y
1,374,299
22,1181,729
29,424,297
30,426,300
31,1228,478
32,1228,478
34,1237,447
35,1243,433
36,1246,428
40,1269,406
41,1273,408
42,1276,410
44,1288,423
47,1304,453
48,1308,458
49,1314,477
50,1318,497
53,1332,554
55,1621,565
56,1341,552
60,1347,474
61,1349,455
62,1348,477
65,1620,629
66,1334,509
67,1331,500
68,1326,492
69,1324,489
70,1322,485
71,1318,483
72,1317,483
78,1229,824
79,435,309
80,436,309
81,436,309
82,437,309
85,422,309
87,407,308
88,407,308
89,401,310
90,401,310
91,401,310
92,1253,569
93,391,311
94,391,311
99,371,311
100,371,311
105,67,6
107,1221,581
108,1221,581
118,1412,682
119,1412,682
132,1292,536
133,1292,536
134,1161,605
135,1161,605
136,1292,536
137,1292,536
139,1128,761
140,1128,761
143,1138,613
144,1138,613
147,1128,614
148,1045,763
150,1342,1035
151,1343,1035
152,1343,1035
153,1342,1035
154,1342,1035
159,1081,629
160,1081,629
161,1078,629
162,1078,629
163,1073,630
164,1073,630
165,1067,632
166,1067,632
167,1062,635
168,2011,855
169,2011,855
170,2012,855
171,2293,109
172,1054,637
173,1049,636
174,1046,637
175,1046,637
176,1335,1033
177,1335,1033
178,1335,1034
179,1335,1034
180,1335,1034
181,1335,1034
182,1335,1033
183,1335,1033
184,1334,1033
185,1334,1033
186,1334,1033
187,1334,1033
188,1335,1033
189,1335,1033
190,1335,1033
191,1335,1033
192,1335,1033
193,1335,1033
194,1335,1033
195,1335,1033
196,998,663
197,1336,1033
198,1336,1033
199,1093,537
200,1093,537
205,980,659
206,980,659
207,973,659
208,973,659
